rowpair-ledger-v1
G	000	O	19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22
T	000	C	20	22	1	12	12	18	13
T	000	C	20	22	1	13	13	16	2
T	000	C	21	19	0	8	8	24	3
T	000	C	21	19	0	9	9	22	9
T	000	C	21	19	0	10	10	20	4
T	000	C	21	19	0	12	12	16	4
T	000	C	21	19	1	7	9	26	1
T	000	C	21	19	1	8	10	24	12
T	000	C	21	19	1	9	11	22	5
T	000	C	21	19	1	11	13	18	4
T	000	C	21	19	1	12	14	16	3
T	000	C	21	20	0	8	7	25	5
T	000	C	21	20	0	9	8	23	24
T	000	C	21	20	0	10	9	21	34
T	000	C	21	20	0	11	10	19	29
T	000	C	21	20	0	12	11	17	5
T	000	C	21	20	0	13	12	15	15
T	000	C	21	20	1	7	8	27	6
T	000	C	21	20	1	8	9	25	34
T	000	C	21	20	1	9	10	23	18
T	000	C	21	20	1	10	11	21	20
T	000	C	21	20	1	11	12	19	4
T	000	C	21	20	1	12	13	17	16
T	000	C	21	21	0	9	7	24	6
T	000	C	21	21	0	10	8	22	36
T	000	C	21	21	0	11	9	20	28
T	000	C	21	21	0	12	10	18	16
T	000	C	21	21	0	13	11	16	12
T	000	C	21	21	0	14	12	14	8
T	000	C	21	21	1	7	7	28	4
T	000	C	21	21	1	8	8	26	36
T	000	C	21	21	1	9	9	24	18
T	000	C	21	21	1	10	10	22	8
T	000	C	21	21	1	11	11	20	20
T	000	C	21	21	1	12	12	18	14
T	000	C	21	21	1	13	13	16	4
T	000	C	21	22	0	10	7	23	6
T	000	C	21	22	0	11	8	21	25
T	000	C	21	22	0	12	9	19	15
T	000	C	21	22	0	13	10	17	3
T	000	C	21	22	0	14	11	15	12
T	000	C	21	22	0	15	12	13	1
T	000	C	21	22	1	8	7	27	38
T	000	C	21	22	1	9	8	25	23
T	000	C	21	22	1	10	9	23	8
T	000	C	21	22	1	11	10	21	5
T	000	C	21	22	1	12	11	19	8
T	000	C	21	22	1	13	12	17	6
T	000	C	22	19	0	9	8	23	1
T	000	C	22	19	0	10	9	21	5
T	000	C	22	19	0	11	10	19	8
T	000	C	22	19	0	12	11	17	2
T	000	C	22	19	1	8	9	25	4
T	000	C	22	19	1	9	10	23	2
T	000	C	22	19	1	10	11	21	5
T	000	C	22	19	1	11	12	19	1
T	000	C	22	19	1	12	13	17	2
T	000	C	22	20	0	9	7	24	4
T	000	C	22	20	0	10	8	22	18
T	000	C	22	20	0	11	9	20	22
T	000	C	22	20	0	12	10	18	9
T	000	C	22	20	0	13	11	16	8
T	000	C	22	20	0	14	12	14	1
T	000	C	22	20	1	8	8	26	22
T	000	C	22	20	1	9	9	24	19
T	000	C	22	20	1	10	10	22	16
T	000	C	22	20	1	11	11	20	6
T	000	C	22	20	1	12	12	18	13
T	000	C	22	20	1	13	13	16	2
