742	0	39
743	1	39
744	2	39
745	3	39
746	4	39
747	5	39
748	6	39
749	7	39
750	8	39
751	9	39
752	10	39
753	11	39
754	12	39
755	13	39
756	14	39
757	15	39
758	16	39
759	17	39
760	18	39
761	19	39
762	20	39
763	21	39
764	22	39
765	23	39
766	24	39
767	25	39
768	26	39
769	27	39
770	28	39
771	29	39
772	30	39
773	31	39
774	32	39
775	33	39
776	34	39
777	35	39
778	36	39
779	37	39
780	38	39
781	0	40
782	1	40
783	2	40
784	3	40
785	4	40
786	5	40
787	6	40
788	7	40
789	8	40
790	9	40
791	10	40
792	11	40
793	12	40
794	13	40
795	14	40
796	15	40
797	16	40
798	17	40
799	18	40
800	19	40
801	20	40
802	21	40
803	22	40
804	23	40
805	24	40
806	25	40
807	26	40
808	27	40
809	28	40
810	29	40
811	30	40
812	31	40
813	32	40
814	33	40
815	34	40
816	35	40
817	36	40
818	37	40
819	38	40
820	39	40
821	0	41
822	1	41
823	2	41
824	3	41
825	4	41
826	5	41
827	6	41
828	7	41
829	8	41
830	9	41
831	10	41
832	11	41
833	12	41
834	13	41
835	14	41
836	15	41
837	16	41
838	17	41
839	18	41
840	19	41
841	20	41
842	21	41
843	22	41
844	23	41
845	24	41
846	25	41
847	26	41
848	27	41
849	28	41
850	29	41
851	30	41
852	31	41
853	32	41
854	33	41
855	34	41
856	35	41
857	36	41
858	37	41
859	38	41
860	39	41
861	40	41
